id;name;pet_type;description;sex;trade_money;trade_pups;pedigree;desire_ammount
1;Movies vertical;Gato;Rico online;Hembra;false;false;false;86752
2;Practical Agent;Gato;Alabama override;Hembra;false;true;true;1665
3;Versatile;Perro;Ergonomic object-oriented;Macho;true;true;true;54393
4;rich CSS;Gato;SDD Cliffs SAS;Hembra;true;false;true;69220
5;Checking Incredible withdrawal;Gato;Steel Bedfordshire Account;Macho;false;true;true;12637
6;Regional;Perro;repurpose;Hembra;true;true;false;52519
7;Mouse service-desk;Perro;navigate incentivize Health;Macho;false;true;false;35326
8;Computers;Gato;Representative e-business;Hembra;true;false;false;52703
9;Borders Trail;Gato;Gloves;Hembra;false;true;true;80010
10;Sports;Perro;bluetooth Illinois;Hembra;true;true;true;49012
