id;filter_type;breed;trade_pups;sex;pedigree;trade_money;provice;canton;district;objective
1;Niger redundant;1080p recontextualize Chips;customized quantify;Hembra;Savings Delaware;Senior;grow;PCI Savings Africa;payment auxiliary;bypassing synthesizing
2;cross-platform frame;Chicken Iraq;National connect Syrian;Macho;indexing New;North Table Towels;Bridge Somoni Berkshire;Producer portals override;Pizza Engineer Drive;Multi-lateral invoice Cheese
3;synthesize Pound;Yen;Pants International;Hembra;Refined up;solutions Outdoors;Montenegro;payment Licensed;Marketing hack;global Borders Grocery
4;e-services bandwidth;Infrastructure project Hampshire;Legacy;Macho;Account Planner bus;transmit Salad;Movies Account;channels Israel payment;application Account;hacking Towels
5;transmit parsing transform;quantify;capacitor Books;Hembra;Proactive Switchable;conglomeration integrated;Futuna leverage program;Refined copying;Montana whiteboard;Investor
6;compressing Integration deposit;Auto Plastic morph;compressing;Hembra;Intelligent;niches Rubber;Keyboard multi-byte Branding;Alaska Plastic Compatible;Architect applications Metal;Gloves
7;improvement Customer-focused Palestinian;Steel;payment hybrid;Macho;Multi-lateral;empower Health ADP;intermediate;Outdoors Checking Assistant;Village;Frozen
8;Arab;Market Point hacking;Health;Hembra;implementation;Loan;transmit;Utah;Administrator;JSON
9;eco-centric;payment Account;grey;Hembra;fuchsia dynamic RSS;driver Directives RSS;Avon Grass-roots Pa'anga;Fresh SDD;Assistant;Response
10;functionalities Account;Supervisor Borders Books;approach Viaduct Regional;Hembra;Home Islands;Cambridgeshire high-level indexing;bandwidth Liechtenstein;transmitter;Accountability Bike deposit;cross-media
